,label,text,regex,removed_stopwords,snowball,potter,snowball_nostop,lemmatized,regex_lemm_nostop,reg_nostop_snowball
0,0,So there is no way for me to plug it in here in the US unless I go by a converter.,so there is no way for me to plug it in here in the us unless i go by a converter,way plug us unless go converter,so there is no way for me to plug it in here in the us unless i go by a convert,way plug us unless go convert,way plug us unless go convert,so there is no way for me to plug it in here in the u unless i go by a converter,way plug u unless go converter,way plug us unless go convert
1,1,"Good case, Excellent value.",good case excellent value,good case excellent value,good case excel valu,good case excel valu,good case excel valu,good case excellent value,good case excellent value,good case excel valu
2,1,Great for the jawbone.,great for the jawbone,great jawbone,great for the jawbon,great jawbon,great jawbon,great for the jawbone,great jawbone,great jawbon
3,0,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,tied to charger for conversations lasting more than 45 minutesmajor problems,tied charger conversations lasting 45 minutesmajor problems,tie to charger for convers last more than 45 minutesmajor problem,tie charger convers last 45 minutesmajor problem,tie charger convers last 45 minutesmajor problem,tied to charger for conversation lasting more than 45 minutesmajor problem,tied charger conversation lasting 45 minutesmajor problem,tie charger convers last 45 minutesmajor problem
4,1,The mic is great.,the mic is great,mic great,the mic is great,mic great,mic great,the mic is great,mic great,mic great
5,0,I have to jiggle the plug to get it to line up right to get decent volume.,i have to jiggle the plug to get it to line up right to get decent volume,jiggle plug get line right get decent volume,i have to jiggl the plug to get it to line up right to get decent volum,jiggl plug get line right get decent volum,jiggl plug get line right get decent volum,i have to jiggle the plug to get it to line up right to get decent volume,jiggle plug get line right get decent volume,jiggl plug get line right get decent volum
6,0,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",if you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one,several dozen several hundred contacts imagine fun sending one one,if you have sever dozen or sever hundr contact then imagin the fun of send each of them one by one,sever dozen sever hundr contact imagin fun send one one,sever dozen sever hundr contact imagin fun send one one,if you have several dozen or several hundred contact then imagine the fun of sending each of them one by one,several dozen several hundred contact imagine fun sending one one,sever dozen sever hundr contact imagin fun send one one
7,1,If you are Razr owner...you must have this!,if you are razr owneryou must have this,razr owneryou must,if you are razr owneryou must have this,razr ownery must,razr owneryou must,if you are razr owneryou must have this,razr owneryou must,razr owneryou must
8,0,"Needless to say, I wasted my money.",needless to say i wasted my money,needless say wasted money,needless to say i wast my money,needless say wast money,needless say wast money,needle to say i wasted my money,needle say wasted money,needless say wast money
9,0,What a waste of money and time!.,what a waste of money and time,waste money time,what a wast of money and time,wast money time,wast money time,what a waste of money and time,waste money time,wast money time
10,1,And the sound quality is great.,and the sound quality is great,sound quality great,and the sound qualiti is great,sound qualiti great,sound qualiti great,and the sound quality is great,sound quality great,sound qualiti great
11,1,He was very impressed when going from the original battery to the extended battery.,he was very impressed when going from the original battery to the extended battery,impressed going original battery extended battery,he was veri impress when go from the origin batteri to the extend batteri,impress go origin batteri extend batteri,veri impress go origin batteri extend batteri,he wa very impressed when going from the original battery to the extended battery,wa impressed going original battery extended battery,impress go origin batteri extend batteri
12,0,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,if the two were seperated by a mere 5+ ft i started to notice excessive static and garbled sound from the headset,two seperated mere 5+ ft started notice excessive static garbled sound headset,if the two were seper by a mere 5+ ft i start to notic excess static and garbl sound from the headset,two seper mere 5+ ft start notic excess static garbl sound headset,two seper mere 5+ ft start notic excess static garbl sound headset,if the two were seperated by a mere 5+ ft i started to notice excessive static and garbled sound from the headset,two seperated mere 5+ ft started notice excessive static garbled sound headset,two seper mere 5+ ft start notic excess static garbl sound headset
13,1,Very good quality though,very good quality though,good quality though,veri good qualiti though,good qualiti though,veri good qualiti though,very good quality though,good quality though,good qualiti though
14,0,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",the design is very odd as the ear clip is not very comfortable at all,design odd ear clip not comfortable,the design is veri odd as the ear clip is not veri comfort at all,design odd ear clip not comfort,design veri odd ear clip veri comfort,the design is very odd a the ear clip is not very comfortable at all,design odd ear clip comfortable,design odd ear clip not comfort
