,label,text
0,0,So there is no way for me to plug it in here in the US unless I go by a converter.
1,1,"Good case, Excellent value."
2,1,Great for the jawbone.
3,0,Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!
4,1,The mic is great.
5,0,I have to jiggle the plug to get it to line up right to get decent volume.
6,0,"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one."
7,1,If you are Razr owner...you must have this!
8,0,"Needless to say, I wasted my money."
9,0,What a waste of money and time!.
10,1,And the sound quality is great.
11,1,He was very impressed when going from the original battery to the extended battery.
12,0,If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.
13,1,Very good quality though
14,0,"The design is very odd, as the ear ""clip"" is not very comfortable at all."
15,1,Highly recommend for any one who has a blue tooth phone.
16,0,I advise EVERYONE DO NOT BE FOOLED!
17,1,So Far So Good!.
18,1,Works great!.
19,0,It clicks into place in a way that makes you wonder how long that mechanism would last.
20,0,"I went on Motorola's website and followed all directions, but could not get it to pair again."
21,1,I bought this to use with my Kindle Fire and absolutely loved it!
22,0,The commercials are the most misleading.
23,1,I have yet to run this new battery below two bars and that's three days without charging.
24,0,I bought it for my mother and she had a problem with the battery.
25,1,Great Pocket PC / phone combination.
26,1,I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.
27,0,I didn't think that the instructions provided were helpful to me.
28,0,People couldnt hear me talk and I had to pull out the earphone and talk on the phone.
29,0,Doesn't hold charge.
30,0,"This is a simple little phone to use, but the breakage is unacceptible."
31,1,This product is ideal for people like me whose ears are very sensitive.
32,0,It is unusable in a moving car at freeway speed.
33,0,I have two more years left in this contract and I hate this phone.
34,1,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended
35,0,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.
36,1,It has kept up very well.
37,0,Poor Talk Time Performance.
38,1,The case is great and works fine with the 680.
39,0,worthless product.
40,1,"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality."
41,0,I was not impressed by this product.
42,1,Nice headset priced right.
43,0,I only hear garbage for audio.
44,1,Excellent bluetooth headset.
45,1,It has all the features I want
46,0,Who in their right mind is gonna buy this battery?.
47,0,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.
48,1,This case seems well made.
49,0,Disappointed with battery.
50,0,Not loud enough and doesn't turn on like it should.
51,1,good protection and does not make phone too bulky.
52,1,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.
53,1,This phone is pretty sturdy and I've never had any large problems with it.
54,1,I love this thing!
55,1,Everything about it is fine and reasonable for the price i.e.
56,0,VERY DISAPPOINTED.
57,1,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!
58,1,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.
59,0,The buttons for on and off are bad.
60,0,Essentially you can forget Microsoft's tech support.
61,1,"I really recommend this faceplates since it looks very nice, elegant and cool."
62,1,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.
63,0,Buy a different phone - but not this.
64,0,You have to hold the phone at a particular angle for the other party to hear you clearly.
65,0,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.
66,0,"A week later after I activated it, it suddenly died."
67,1,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.
68,1,Great for iPODs too.
69,1,This device is great in several situations:1.)
70,0,Mic Doesn't work.
71,0,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying."
72,1,Great choice!
73,1,Nice docking station for home or work.
74,1,This is a beautiful phone.
75,1,Love this product.
76,0,Do Not Buy for D807...wrongly advertised for D807.
77,1,This is a great little item.
78,1,"I love this phone , It is very handy and has a lot of features ."
79,0,I purchased this and within 2 days it was no longer working!!!!!!!!!
80,1,I wear it everyday and it holds up very well.
81,0,Not a good bargain.
82,1,"Well packaged, arrived on time, and works as intended."
83,0,The battery runs down quickly.
84,0,"This item worked great, but it broke after 6 months of use."
85,1,The headsets are easy to use and everyone loves them.
86,1,This phone works great.
87,0,The construction of the headsets is poor.
88,1,Product was excellent and works better than the verizon one and Boy was it cheaper!
89,1,The phone loads super!
90,0,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does."
91,1,Made very sturdy.
92,1,Worked great!.
93,0,The ear buds only play music in one ear.
94,0,Dont waste your money...
95,1,Will order from them again!
96,0,If you plan to use this in a car forget about it.
97,0,I found this product to be waaay too big.
98,1,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.
99,0,I'm very disappointed with my decision.
100,1,Integrated seamlessly with the Motorola RAZR phone.
101,0,"Buyer Beware, you could flush money right down the toilet."
102,1,Definitely a bargain.
103,1,The price was very good and with the free shipping and all it was a good purchase.
104,0,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.
105,1,"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more."
106,0,"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case)."
107,1,"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit."
108,0,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution."
109,0,I purcashed this for the car charger and it does not work.
110,1,"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2."
111,1,This phone is slim and light and the display is beautiful.
112,1,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.
113,1,"Great product, fast shipping!."
114,1,Absolutely great.
115,1,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.
116,0,i got this phone around the end of may and i'm completely unhappy with it.
117,1,It is very comfortable on the ear.
118,1,It has been a winner for us.
119,1,)Setup couldn't have been simpler.
120,1,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.
121,0,Could not get strong enough signal.
122,1,Iam very pleased with my purchase.
123,0,Bad Quality.
124,1,Gets the job done.
125,1,Great audio!.
126,0,Basically the service was very bad.
127,0,it did not work in my cell phone plug i am very up set with the charger!.
128,1,"I've only had my bluetooth for a few weeks, but I really like it."
129,0,The BT headset was such a disapoinment.
130,1,It is so small and you don't even realize that it is there after a while of getting used to it.
131,1,The accompanied software is almost brilliant.
132,1,Headset works great & was packaged nicely to avoid any damage.
133,1,!I definitly recommend!!
134,0,Buyer--Be Very Careful!!!!!.
135,0,The majority of the Logitech earbud headsets failed.
136,1,Very good stuff for the price.
137,1,My headset works just peachy-keen.
138,0,In my house I was getting dropped coverage upstairs and no coverage in my basement.
139,1,Voice recognition is tremendous!
140,0,What a waste.
141,0,"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars."
142,0,I was not happy with this item.
143,0,very disappointed.
144,0,The phone takes FOREVER to charge like 2 to 5 hours literally.
